Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Avery Bradley\bradlav01,26,18,18,645,120,272,.441,40,114,.351,80,158,.506,.515,21,27,.778,18,53,71,41,23,3,31,40,301
2,Al Horford\horfoal01,30,18,18,610,111,190,.584,27,52,.519,84,138,.609,.655,22,29,.759,31,87,118,97,15,14,33,33,271
3,Jae Crowder\crowdja01,26,18,18,596,87,200,.435,31,88,.352,56,112,.500,.513,40,48,.833,20,95,115,48,19,6,12,52,245
4,Marcus Smart\smartma01,22,18,3,538,47,134,.351,29,73,.397,18,61,.295,.459,32,50,.640,23,62,85,85,27,16,38,51,155
5,Isaiah Thomas\thomais02,27,15,15,521,111,261,.425,36,108,.333,75,153,.490,.494,91,111,.820,5,42,47,100,13,2,50,35,349
6,Kelly Olynyk\olynyke01,25,18,2,346,64,125,.512,15,47,.319,49,78,.628,.572,22,30,.733,14,43,57,34,13,14,22,47,165
7,Terry Rozier\roziete01,22,17,0,277,33,82,.402,14,38,.368,19,44,.432,.488,16,20,.800,12,32,44,32,11,4,10,20,96
8,Jaylen Brown\brownja02,20,17,0,215,34,71,.479,5,23,.217,29,48,.604,.514,12,18,.667,12,24,36,13,6,2,13,26,85
9,Gerald Green\greenge01,31,13,7,192,34,72,.472,21,45,.467,13,27,.481,.618,8,9,.889,2,18,20,9,3,1,7,21,97
10,Amir Johnson\johnsam01,29,14,9,142,15,30,.500,1,3,.333,14,27,.519,.517,5,8,.625,17,13,30,3,4,6,6,24,36
11,Jonas Jerebko\jerebjo01,29,12,0,128,15,31,.484,5,15,.333,10,16,.625,.565,8,8,1.000,7,22,29,12,5,3,6,13,43
12,Tyler Zeller\zellety01,27,11,0,78,13,25,.520,0,0,,13,25,.520,.520,6,8,.750,8,11,19,8,0,2,4,7,32
13,James Young\youngja01,21,10,0,39,5,15,.333,5,14,.357,0,1,.000,.500,0,0,,1,6,7,3,0,0,1,2,15
14,Jordan Mickey\mickejo01,22,2,0,18,2,5,.400,0,0,,2,5,.400,.400,0,0,,0,5,5,0,0,1,1,3,4
