Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James\jamesle01,32,18,18,744,217,384,.565,44,107,.411,173,277,.625,.622,113,162,.698,19,145,164,141,35,23,72,43,591
2,Kyrie Irving\irvinky01,24,18,18,653,173,370,.468,44,118,.373,129,252,.512,.527,76,84,.905,13,38,51,95,23,8,48,38,466
3,Kevin Love\loveke01,28,18,18,578,95,218,.436,50,111,.450,45,107,.421,.550,63,75,.840,36,155,191,30,21,16,31,46,303
4,Tristan Thompson\thomptr01,25,18,18,562,54,92,.587,0,0,,54,92,.587,.587,40,60,.667,69,81,150,26,9,13,21,36,148
5,J.R. Smith\smithjr01,31,18,18,487,50,99,.505,40,80,.500,10,19,.526,.707,5,11,.455,5,37,42,13,13,6,12,41,145
6,Kyle Korver\korveky01,35,18,0,326,34,80,.425,27,69,.391,7,11,.636,.594,10,10,1.000,2,28,30,13,7,5,7,22,105
7,Iman Shumpert\shumpim01,26,17,0,275,25,60,.417,10,26,.385,15,34,.441,.500,14,17,.824,6,41,47,16,10,3,6,32,74
8,Deron Williams\willide01,32,18,0,262,28,64,.438,12,31,.387,16,33,.485,.531,10,11,.909,3,20,23,38,10,1,17,29,78
9,Richard Jefferson\jefferi01,36,14,0,179,16,38,.421,5,19,.263,11,19,.579,.487,18,28,.643,10,15,25,7,2,3,8,30,55
10,Channing Frye\fryech01,33,12,0,154,31,60,.517,20,39,.513,11,21,.524,.683,6,7,.857,0,22,22,13,3,4,2,11,88
11,Derrick Williams\willide02,25,8,0,38,8,15,.533,3,5,.600,5,10,.500,.633,2,2,1.000,1,2,3,4,0,1,3,0,21
12,Dahntay Jones\jonesda02,36,10,0,33,5,10,.500,1,2,.500,4,8,.500,.550,5,5,1.000,1,6,7,1,0,1,1,7,16
13,James Jones\jonesja02,36,8,0,30,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,1,3,4,0,0,0,2,3,2
