Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Stephen Curry\curryst01,28,17,17,601,151,312,.484,72,172,.419,79,140,.564,.599,103,114,.904,22,84,106,114,34,4,58,37,477
2,Klay Thompson\thompkl01,26,17,17,596,94,237,.397,41,106,.387,53,131,.405,.483,26,33,.788,11,55,66,35,14,5,24,44,255
3,Draymond Green\greendr01,26,17,17,593,72,161,.447,32,78,.410,40,83,.482,.547,46,67,.687,20,135,155,110,31,28,36,60,222
4,Kevin Durant\duranke01,28,15,15,533,149,268,.556,38,86,.442,111,182,.610,.627,92,103,.893,16,103,119,64,12,20,38,39,428
5,Andre Iguodala\iguodan01,33,16,0,419,46,101,.455,8,42,.190,38,59,.644,.495,15,26,.577,9,56,65,51,14,7,16,29,115
6,David West\westda01,36,17,0,221,34,59,.576,1,2,.500,33,57,.579,.585,7,9,.778,7,39,46,36,7,13,10,26,76
7,Shaun Livingston\livinsh01,31,14,0,220,34,59,.576,0,0,,34,59,.576,.576,5,7,.714,10,19,29,20,5,2,10,24,73
8,Ian Clark\clarkia01,25,16,0,219,40,79,.506,13,36,.361,27,43,.628,.589,16,17,.941,4,22,26,11,6,0,11,17,109
9,Zaza Pachulia\pachuza01,32,15,15,212,32,60,.533,0,1,.000,32,59,.542,.533,13,17,.765,18,39,57,12,8,4,14,32,77
10,Patrick McCaw\mccawpa01,21,15,3,181,21,48,.438,8,23,.348,13,25,.520,.521,11,13,.846,10,23,33,16,9,3,3,14,61
11,JaVale McGee\mcgeeja01,29,16,1,149,41,56,.732,0,0,,41,56,.732,.732,13,18,.722,22,26,48,4,2,15,8,31,95
12,Matt Barnes\barnema02,36,12,0,61,4,15,.267,1,8,.125,3,7,.429,.300,0,0,,0,9,9,7,2,0,3,9,9
13,James Michael McAdoo\mcadoja01,24,13,0,56,9,17,.529,2,5,.400,7,12,.583,.588,4,6,.667,5,8,13,0,2,2,1,5,24
14,Damian Jones\jonesda03,21,4,0,21,3,7,.429,0,0,,3,7,.429,.429,1,2,.500,4,2,6,0,2,1,0,3,7
