Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Trevor Ariza\arizatr01,31,11,11,413,41,97,.423,23,61,.377,18,36,.500,.541,13,14,.929,8,48,56,23,14,2,9,25,118
2,James Harden\hardeja01,27,11,11,407,90,218,.413,32,115,.278,58,103,.563,.486,101,115,.878,7,53,60,93,21,5,59,43,313
3,Eric Gordon\gordoer01,28,11,2,358,51,121,.421,27,70,.386,24,51,.471,.533,13,18,.722,5,38,43,22,8,6,14,20,142
4,Ryan Anderson\anderry01,28,11,9,336,36,92,.391,17,60,.283,19,32,.594,.484,14,16,.875,15,42,57,7,4,2,9,24,103
5,Patrick Beverley\beverpa01,28,11,11,325,45,109,.413,21,52,.404,24,57,.421,.509,11,14,.786,21,40,61,33,16,2,18,38,122
6,Clint Capela\capelca01,22,11,11,286,46,82,.561,0,1,.000,46,81,.568,.561,24,39,.615,26,70,96,12,8,28,8,28,116
7,Lou Williams\willilo02,30,11,0,272,50,118,.424,12,39,.308,38,79,.481,.475,26,29,.897,7,23,30,14,7,1,14,17,138
8,Nene Hilario\hilarne01,34,9,0,161,36,51,.706,0,1,.000,36,50,.720,.706,18,31,.581,11,31,42,5,6,4,9,24,90
9,Sam Dekker\dekkesa01,22,4,0,31,3,12,.250,3,6,.500,0,6,.000,.375,0,0,,5,5,10,1,1,1,0,2,9
10,Bobby Brown\brownbo02,32,5,0,22,10,20,.500,5,11,.455,5,9,.556,.625,0,0,,0,2,2,1,0,0,0,1,25
11,Montrezl Harrell\harremo01,23,5,0,21,1,3,.333,0,0,,1,3,.333,.333,3,6,.500,1,5,6,2,0,0,2,7,5
12,Troy Williams\willitr02,22,5,0,19,0,9,.000,0,5,.000,0,4,.000,.000,1,2,.500,2,5,7,1,0,0,2,0,1
13,Isaiah Taylor\taylois01,22,3,0,10,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,1,1,2,1,0,0,0,1,0
14,Kyle Wiltjer\wiltjky01,24,1,0,5,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,0,3
