Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LaMarcus Aldridge\aldrila01,31,16,16,537,110,240,.458,2,14,.143,108,226,.478,.463,42,55,.764,43,76,119,24,10,16,28,41,264
2,Danny Green\greenda02,29,16,16,436,45,111,.405,26,76,.342,19,35,.543,.523,8,14,.571,13,44,57,23,10,15,17,30,124
3,Kawhi Leonard\leonaka01,25,12,12,429,106,202,.525,25,55,.455,81,147,.551,.587,95,102,.931,19,74,93,55,20,6,26,21,332
4,Patty Mills\millspa02,28,16,6,416,57,140,.407,32,89,.360,25,51,.490,.521,19,22,.864,5,29,34,43,13,1,21,33,165
5,Pau Gasol\gasolpa01,36,16,7,365,50,114,.439,6,18,.333,44,96,.458,.465,17,24,.708,39,75,114,31,7,15,18,35,123
6,Jonathon Simmons\simmojo02,27,15,4,306,62,136,.456,13,37,.351,49,99,.495,.504,21,31,.677,9,19,28,29,9,2,11,30,158
7,Manu Ginobili\ginobma01,39,16,1,284,40,97,.412,9,40,.225,31,57,.544,.459,17,23,.739,10,29,39,39,16,2,12,28,106
8,David Lee\leeda02,33,15,4,245,25,48,.521,0,1,.000,25,47,.532,.521,11,17,.647,20,37,57,11,4,5,6,20,61
9,Tony Parker\parketo01,34,8,8,211,51,97,.526,11,19,.579,40,78,.513,.582,14,14,1.000,2,18,20,25,4,0,12,10,127
10,Kyle Anderson\anderky01,23,15,1,195,36,64,.563,3,10,.300,33,54,.611,.586,8,11,.727,12,34,46,25,10,2,7,8,83
11,Dejounte Murray\murrade01,20,11,2,168,23,61,.377,0,3,.000,23,58,.397,.377,17,25,.680,4,23,27,27,16,1,16,14,63
12,Davis Bertans\bertada01,24,13,0,112,12,27,.444,8,20,.400,4,7,.571,.593,4,6,.667,5,15,20,3,3,4,6,7,36
13,Dewayne Dedmon\dedmode01,27,12,3,97,14,23,.609,0,0,,14,23,.609,.609,17,32,.531,21,26,47,3,2,3,8,16,45
14,Bryn Forbes\forbebr01,23,6,0,73,6,21,.286,2,9,.222,4,12,.333,.333,6,6,1.000,0,6,6,3,0,1,2,5,20
15,Joel Anthony\anthojo01,34,3,0,15,3,4,.750,0,0,,3,4,.750,.750,0,1,.000,2,2,4,0,0,2,1,2,6
