Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,DeMar DeRozan\derozde01,27,10,10,373,76,175,.434,1,15,.067,75,160,.469,.437,71,80,.888,4,45,49,34,14,0,25,26,224
2,Serge Ibaka\ibakase01,27,10,10,307,60,130,.462,12,38,.316,48,92,.522,.508,11,13,.846,9,56,65,14,4,17,11,37,143
3,Kyle Lowry\lowryky01,30,8,8,300,43,93,.462,13,38,.342,30,55,.545,.532,27,33,.818,3,22,25,47,12,4,17,26,126
4,P.J. Tucker\tuckepj01,31,10,1,251,18,49,.367,9,28,.321,9,21,.429,.459,5,8,.625,15,42,57,11,6,3,8,27,50
5,Norman Powell\powelno01,23,9,5,227,35,82,.427,15,34,.441,20,48,.417,.518,20,24,.833,5,23,28,14,10,3,15,25,105
6,Jonas Valanciunas\valanjo01,24,10,6,226,44,81,.543,0,1,.000,44,80,.550,.543,24,33,.727,9,58,67,2,2,6,13,22,112
7,Cory Joseph\josepco01,25,10,2,212,31,71,.437,9,22,.409,22,49,.449,.500,8,8,1.000,4,17,21,31,4,2,14,17,79
8,Patrick Patterson\pattepa01,27,10,1,185,10,36,.278,8,26,.308,2,10,.200,.389,6,6,1.000,1,19,20,20,7,2,6,4,34
9,DeMarre Carroll\carrode01,30,10,7,155,15,37,.405,7,22,.318,8,15,.533,.500,5,9,.556,4,23,27,5,8,5,5,13,42
10,Delon Wright\wrighde01,24,9,0,92,9,17,.529,2,6,.333,7,11,.636,.588,5,7,.714,4,9,13,13,4,1,5,4,25
11,Fred VanVleet\vanvlfr01,22,7,0,29,6,9,.667,2,5,.400,4,4,1.000,.778,0,0,,0,1,1,4,1,0,1,3,14
12,Jakob Poeltl\poeltja01,21,6,0,26,5,11,.455,0,0,,5,11,.455,.455,0,2,.000,6,6,12,0,1,1,0,3,10
13,Pascal Siakam\siakapa01,22,2,0,10,0,2,.000,0,0,,0,2,.000,.000,0,0,,2,1,3,1,1,0,0,1,0
14,Lucas Nogueira\noguelu01,24,3,0,7,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,2,3,5,0,0,0,0,1,3
