Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Gordon Hayward\haywago01,26,11,11,411,83,188,.441,28,68,.412,55,120,.458,.516,71,76,.934,7,60,67,37,10,3,24,23,265
2,Joe Ingles\inglejo01,29,11,11,334,25,62,.403,15,41,.366,10,21,.476,.524,6,9,.667,2,39,41,36,22,5,16,28,71
3,Joe Johnson\johnsjo02,35,11,2,326,58,133,.436,15,45,.333,43,88,.489,.492,11,15,.733,8,35,43,27,6,1,13,21,142
4,George Hill\hillge01,30,8,8,281,46,98,.469,12,31,.387,34,67,.507,.531,21,29,.724,8,25,33,29,2,1,13,25,125
5,Rodney Hood\hoodro01,24,11,0,277,37,105,.352,13,50,.260,24,55,.436,.414,11,18,.611,1,29,30,12,5,0,10,30,98
6,Rudy Gobert\goberru01,24,9,9,246,40,63,.635,0,0,,40,63,.635,.635,24,50,.480,22,67,89,11,9,12,9,30,104
7,Derrick Favors\favorde01,25,11,2,225,36,62,.581,0,0,,36,62,.581,.581,11,23,.478,15,45,60,10,8,6,4,25,83
8,Boris Diaw\diawbo01,34,11,9,203,24,48,.500,6,14,.429,18,34,.529,.563,9,10,.900,3,18,21,22,7,4,14,12,63
9,Shelvin Mack\macksh01,26,9,3,155,17,49,.347,7,15,.467,10,34,.294,.418,13,15,.867,3,22,25,18,4,0,9,14,54
10,Dante Exum\exumda01,21,7,0,84,11,27,.407,4,12,.333,7,15,.467,.481,6,6,1.000,2,4,6,9,5,0,3,10,32
11,Raul Neto\netora01,24,9,0,60,8,13,.615,3,6,.500,5,7,.714,.731,4,4,1.000,0,7,7,4,1,1,3,8,23
12,Jeff Withey\witheje01,26,3,0,21,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,3,1,4,1,1,1,0,5,5
13,Trey Lyles\lylestr01,21,2,0,10,3,7,.429,1,3,.333,2,4,.500,.500,0,0,,0,2,2,1,1,0,1,1,7
14,Joel Bolomboy\bolomjo01,23,2,0,9,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,2,2,0,0,1,0,0,4
