Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,John Wall\walljo01,26,13,13,507,127,281,.452,21,61,.344,106,220,.482,.489,78,93,.839,7,41,48,134,22,15,55,26,353
2,Bradley Beal\bealbr01,23,13,13,505,122,259,.471,29,101,.287,93,158,.589,.527,50,61,.820,15,29,44,35,21,8,27,38,323
3,Otto Porter\porteot01,23,13,13,428,58,109,.532,11,39,.282,47,70,.671,.583,31,35,.886,15,75,90,23,21,7,10,26,158
4,Marcin Gortat\gortama01,32,13,13,409,47,93,.505,0,0,,47,93,.505,.505,11,18,.611,52,91,143,24,5,20,17,40,105
5,Markieff Morris\morrima02,27,13,13,373,59,145,.407,14,38,.368,45,107,.421,.455,25,31,.806,18,65,83,22,12,17,21,46,157
6,Bojan Bogdanovic\bogdabo02,27,13,0,264,36,87,.414,16,45,.356,20,42,.476,.506,27,32,.844,10,46,56,9,6,1,8,17,115
7,Kelly Oubre\oubreke01,21,12,0,184,26,61,.426,11,30,.367,15,31,.484,.516,7,10,.700,9,19,28,4,10,5,7,38,70
8,Brandon Jennings\jennibr01,27,13,0,178,14,36,.389,2,13,.154,12,23,.522,.417,7,8,.875,5,14,19,24,2,0,8,13,37
9,Jason Smith\smithja02,30,13,0,157,19,39,.487,3,10,.300,16,29,.552,.526,10,14,.714,10,19,29,4,2,7,10,30,51
10,Ian Mahinmi\mahinia01,30,5,0,63,5,9,.556,0,0,,5,9,.556,.556,4,11,.364,3,8,11,6,1,6,3,17,14
11,Tomas Satoransky\satorto01,25,10,0,36,3,6,.500,0,0,,3,6,.500,.500,2,5,.400,1,4,5,6,1,0,2,4,8
12,Trey Burke\burketr01,24,3,0,20,0,4,.000,0,2,.000,0,2,.000,.000,0,0,,0,0,0,5,0,0,0,2,0
13,Sheldon Mac\mcclesh01,24,7,0,17,5,9,.556,2,5,.400,3,4,.750,.667,2,2,1.000,0,2,2,0,0,0,1,1,14
14,Daniel Ochefu\ochefda01,23,4,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,1,1,0
